Sr_No,Location_Coordinates,Hospital_Name,Specialties,Address_Original_First_Line,State,District,Pincode,Telephone,Mobile_Number,Emergency_Num,Facilities,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Latitude,Longitude
1,"11.6357989, 92.7120575",Chakraborty Multi Speciality Hospital,[],Near Dollygunj Junction,Andaman and Nicobar Islands,South Andaman,744101.0,03192 251971,,,,,Hospital,Allopathic,11.6357989,92.7120575
2,"11.8311681, 92.6586401",Inhs Dhanvantri,[],Medical Board Office,Andaman and Nicobar Islands,South Andaman,744101.0,,,,,,,Allopathic,11.8311681,92.6586401
3,"11.8311681, 92.6586401",Maricar Hospital,[],Near Masjid,Andaman and Nicobar Islands,South Andaman,744103.0,03192 233434,9933280204,,,,Hospital,Allopathic,11.8311681,92.6586401
4,"11.6498468, 92.7294624",Pillar Health Centre,[],"Lamba Line, P.B. No. 526",Andaman and Nicobar Islands,South Andaman,744103.0,03192 233193,,,,,,Allopathic,11.6498468,92.7294624
5,"11.6233774, 92.7264828","G B Pant Hospital, Port Blair","['Surgery', 'Medicine', 'Gynaecology', 'Pediatrics', 'ENT', 'Pathology and Ophthalmology']","GB Pant Road, City Centre, Port Blair",Andaman and Nicobar Islands,South Andaman,744103.0,"03192 233665,03192 246058,03192 233455,03192 230858",,,,Public/ Government,Hospital,Allopathic,11.6233774,92.7264828
6,"17.4274003, 78.4311174","Care Hospital, Banjara","['Anaesthesiology', 'Bio-Chemistry', 'Cardiac Yoga', '\\nCardiology\\nCardiothoracic Surgery', 'Chest Physician', 'Critical Care', 'Dentistry and Maxillofacial Surgery', 'Dermatology', 'Diabetology', 'Dietetics', 'Emergency Medicine', '\\n Endocrinology', 'Endoscopy', 'Gastroenterology', '\\n Gastrointestinal Medicine', '\\n General Medicine', '\\n General Surgery', '\\n Geriatrics', 'Gynaecology', '\\n haematology', 'Hepatology', '\\n Internal Medicine', '\\n Interventional Radiology', '\\n Laboratory Medicine', '\\n Laparoscopic Surgery', '\\n Medical Oncology', '\\n Micro-Biology', 'Nephrology', '\\n Neuro Surgery', 'Neurology', '\\n Nuclear Medicine', '\\n Obstetrics and Gynaecology', '\\n Ophthalmology', '\\n Orthopedics and Traumatology', '\\nOtorhinolaryngology\\n Pathology', 'Pediatric', 'Cardiology', '\\n Pediatric Surgery', 'Pediatric', '\\n Pediatric and Neonatology', '\\n Physiotherapy', 'Plastic Surgery and Cosmetic Surgery', 'Preventive', 'Medicine / Wellness', 'Psychiatry', '\\n Pulmonology', 'Radio-Diagnosis', '\\n Radiology', 'Respiratory', 'Medicine', 'Rheumatology', 'Sports Medicine\\n Surgical Gastroenterology\\n Surgical Oncology', 'Urology\\n Vascular Surgery']","Road No.1, Banjara Hills",Andhra Pradesh,Hyderabad,500034.0,"040 30418888,040 66668888,040 23234444",,040 30418888,"Ambulance, Blood Bank,\nCasualty, Diagnostic, Services,\nDialysis Unit, Electrotherapy,\nEmergency Room, Exercise therapy,\nHome Health, Care Services\nLifestyle Clinic - A Preventive Medicine Centre, Pharmacy",Private,Hospital,Allopathic,17.4274003,78.4311174
7,"14.6795736, 77.592469",Aasha Hospitals,[],"7/201, Court Road",Andhra Pradesh,Anantapur,515001.0,08554    274194,9440285832,,,,,,14.6795736,77.592469
9,"14.6818877, 77.6005911",Baby Hospital,[],"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex",Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6818877,77.6005911
10,"14.6723351, 77.6018211",Dr Akbar Eye Hospital And Laser Centre,[],"12-3-234, 6Th Cross Sai Nagar",Andhra Pradesh,Anantapur,515001.0,08554    235009,,,,,,,14.6723351,77.6018211
12,"14.6749908, 77.6032432",Hrudaya Children Hospital,[],Sai Nagar Iind Cross,Andhra Pradesh,Anantapur,515001.0,,,,,,,,14.6749908,77.6032432
